year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
1996,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
1997,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
1998,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
1999,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2000,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2001,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2002,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2003,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2004,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2005,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2006,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2007,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2008,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2009,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2010,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2011,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2012,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2013,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2014,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2015,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2016,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
2017,100,20,25,30,0.75,25,100,0,0,0,0,60,0,0,40,0,100,60,0,0,40
