,China,Germany,Hong Kong,India,Italy,Japan,South Korea,Netherlands,Poland,Spain,Turkey,USA
2019,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2020,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2021,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2022,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2023,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2024,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2025,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2026,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2027,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2028,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2029,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2030,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2031,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2032,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2033,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2034,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2035,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2036,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2037,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2038,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2039,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2040,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2041,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2042,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2043,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2044,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2045,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2046,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2047,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2048,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2049,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
2050,47.83,8.7,1.45,7.25,2.9,10.14,8.7,1.45,1.45,1.45,1.45,7.25
