Global Carbon emissions annually for SSP Scenarios,https://www.carbonbrief.org/explainer-how-shared-socioeconomic-pathways-explore-future-climate-change/,"used the ""marker"" scenario for each",Gt = billion tonnes
year,SSP1_IMAGE_[GtCO2eq/year],SSP5_REMIND_[GtCO2eq/year],OurWorldInData_AnnualEmit_[GtCO2eq]
2005,33.1,35.3,29.59
2006,,,30.61
2007,,,31.5
2008,,,32.04
2009,,,31.49
2010,36.3,36.4,33.31
2011,,,34.44
2012,,,34.94
2013,,,35.23
2014,,,35.47
2015,,,35.46
2016,,,35.46
2017,,,36.03
2018,,,36.77
2019,,,37.04
2020,39.6,44.3,35.01
2021,,,36.82
2022,,,37.15
2023,,,
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,42,56.7,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,43.1,69.9,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,41.8,84.4,
2051,,,
2052,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,41.4,101.3,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,38.9,117.5,
2071,,,
2072,,,
2073,,,
2074,,,
2075,,,
2076,,,
2077,,,
2078,,,
2079,,,
2080,33.1,129.5,
2081,,,
2082,,,
2083,,,
2084,,,
2085,,,
2086,,,
2087,,,
2088,,,
2089,,,
2090,28.2,130.4,
2091,,,
2092,,,
2093,,,
2094,,,
2095,,,
2096,,,
2097,,,
2098,,,
2099,,,
2100,24.5,126.1,
