year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,,,,,,,,0,,,
1996,,,,,,,,0,,,
1997,,,,,,,,0,,,
1998,,,,,,,,0,,,
1999,,,,,,,,0,,,
2000,,,,,,,,0,,,
2001,,,,,,,,0,,,
2002,,,,,,,,0,,,
2003,,,,,,,,0,,,
2004,,,,,,,,0,,,
2005,,,,,,,,0,,,
2006,,,,,,,,0,,,
2007,,,,,,,,0,,,
2008,,,,,,,,0,,,
2009,,,,,,,,0,,,
2010,,,,,,,,0,,,
2011,,,,,,,,0,,,
2012,,,,,,,,0,,,
2013,,,,,,,,0,,,
2014,,,,,,,,0,,,
2015,,,,,,,,0,,,
2016,,,,,,,,0,,,
2017,,,,,,,,0,,,
2018,,,,,,,,0,,,
2019,,,,,,,,0,,,
2020,,,,,,,,0,,,
2021,,,,,,,,0,,,
2022,,,,,,,,0,,,
2023,,,,,,,,0,,,
2024,,,,,,,,0,,,
2025,,,,,,,,0,,,
2026,,,,,,,,0,,,
2027,,,,,,,,0,,,
2028,,,,,,,,0,,,
2029,,,,,,,,0,,,
2030,,,,,,,,0,,,
2031,,,,,,,,0,,,
2032,,,,,,,,0,,,
2033,,,,,,,,0,,,
2034,,,,,,,,0,,,
2035,,,,,,,,0,,,
2036,,,,,,,,0,,,
2037,,,,,,,,0,,,
2038,,,,,,,,0,,,
2039,,,,,,,,0,,,
2040,,,,,,,,0,,,
2041,,,,,,,,0,,,
2042,,,,,,,,0,,,
2043,,,,,,,,0,,,
2044,,,,,,,,0,,,
2045,,,,,,,,0,,,
2046,,,,,,,,0,,,
2047,,,,,,,,0,,,
2048,,,,,,,,0,,,
2049,,,,,,,,0,,,
2050,,,,,,,,0,,,
