Year,Scenario,Mass of PV materials repaired (million tonnes),Mass of PV materials reused (million tonnes),Mass of PV materials recycled (million tonnes),Mass of PV materials landfilled (million tonnes),Mass of PV materials stored (million tonnes)
2020,a) Landfill ban,0,0,0,0,0
2021,a) Landfill ban,0,0.00024059,6.57E-05,0.001009021,0.007286062
2022,a) Landfill ban,0,0.000789049,0.000250829,0.006248085,0.017399471
2023,a) Landfill ban,0,0.003139943,0.001236976,0.012177397,0.029176223
2024,a) Landfill ban,0,0.010832934,0.004654612,0.01918279,0.038458474
2025,a) Landfill ban,0.000653904,0.024319639,0.013107967,0.027837263,0.042658744
2026,a) Landfill ban,0.001491938,0.033680081,0.028422945,0.038587205,0.052215487
2027,a) Landfill ban,0.002301376,0.042743675,0.047378754,0.050963298,0.06998633
2028,a) Landfill ban,0.002906115,0.052125357,0.068184911,0.064731214,0.100522174
2029,a) Landfill ban,0.00380268,0.063646243,0.090855759,0.080024582,0.144292217
2030,a) Landfill ban,0.005625602,0.07816049,0.120808832,0.09805305,0.195756995
2031,a) Landfill ban,0.008777471,0.094039835,0.166478167,0.120640635,0.248235389
2032,a) Landfill ban,0.014088618,0.099091016,0.233113398,0.134300505,0.308851372
2033,a) Landfill ban,0.015021268,0.105020654,0.305299583,0.150343598,0.394270897
2034,a) Landfill ban,0.015549615,0.112917649,0.430757801,0.176857627,0.440535047
2035,a) Landfill ban,0.015632921,0.120439614,0.617663344,0.215441438,0.441587304
2036,a) Landfill ban,0.015677227,0.125973548,0.842043695,0.261386405,0.430567557
2037,a) Landfill ban,0.015677227,0.131316624,1.103924046,0.314705312,0.406352231
2038,a) Landfill ban,0.015677227,0.135690562,1.391285325,0.37303427,0.386016501
2039,a) Landfill ban,0.015677227,0.13905337,1.695809581,0.434745362,0.380751662
2040,a) Landfill ban,0.015677227,0.144576549,2.02766015,0.50183275,0.374463674
2041,a) Landfill ban,0.015677227,0.150657066,2.384128587,0.57375892,0.37351012
2042,a) Landfill ban,0.015677227,0.157821524,2.766326509,0.650744533,0.37709285
2043,a) Landfill ban,0.015677227,0.165356698,3.180588425,0.734031952,0.378458835
2044,a) Landfill ban,0.015677227,0.175442024,3.624496008,0.823148002,0.378516498
2045,a) Landfill ban,0.015677227,0.18619732,4.095984734,0.917684799,0.380375979
