Year,Cumulative_New_Installs_[MW]
2000,38
2001,76
2002,114
2003,152
2004,190
2005,228
2006,266
2007,405
2008,656
2009,1034
2010,1773
2011,3443
2012,6378
2013,10524
2014,15956
2015,22481
2016,26090
2017,30297
2018,35202
2019,40921
2020,40921
2021,47713.886
2022,55634.39108
2023,64869.69999
2024,75638.07019
2025,88193.98985
2026,102834.1922
2027,119904.6681
2028,139808.843
2029,163017.1109
2030,190077.9513
2031,221630.8912
2032,231604.2813
2033,242026.474
2034,252917.6653
2035,264298.9602
2036,276192.4135
2037,288621.0721
2038,301609.0203
2039,315181.4262
2040,329364.5904
2041,344185.997
2042,359674.3668
2043,375859.7133
2044,392773.4004
2045,410448.2034
2046,428918.3726
2047,448219.6994
2048,468389.5858
2049,489467.1172
2050,511493.1375
