year,E_CuMining_kWhpkg,PrctFuel,Source,Notes
1975,15.947,,"Bravard, J. C., H. B. Flora, and Charles Portal. Energy expenditures associated with the production and recycle of metals. Vol. 24. OAK RIDGE NAT. LABORATORY, 1972.","mining and milling and flotation of 0.3% Cu ore, table 12"
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,1.319,90.74%,"Lagos, Gustavo, David Peters, Alvaro Videla, and José Joaquín Jara. “The Effect of Mine Aging on the Evolution of Environmental Footprint Indicators in the Chilean Copper Mining Industry 2001–2015.” Journal of Cleaner Production 174 (February 10, 2018): 389–400. https://doi.org/10.1016/j.jclepro.2017.10.290.","Table 1, open pit mine, likely includes transport, not embodied E"
2002,0.611,43.18%,"Lagos, Gustavo, David Peters, Alvaro Videla, and José Joaquín Jara. “The Effect of Mine Aging on the Evolution of Environmental Footprint Indicators in the Chilean Copper Mining Industry 2001–2015.” Journal of Cleaner Production 174 (February 10, 2018): 389–400. https://doi.org/10.1016/j.jclepro.2017.10.290.","Table 1, underground mine, likely includes transport, not embodied E"
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,0.006,,"Bleiwas, Donald. 2011. “Estimates of Electricity Requirements for the Recovery of Mineral Commodities, with Examples Applied to Sub-Saharan Africa.” Open-File Report 2011–1253. Open-File Report. USGS.","Table 13, processed ore instead of tonne copper, open pit mining only"
2010,11.1108,,"Norgate, Terry, and Sharif Jahanshahi. 2011. “Reducing the Greenhouse Gas Footprint of Primary Metal Production: Where Should the Focus Be?” Minerals Engineering 24 (14): 1563–70. https://doi.org/10.1016/j.mineng.2011.08.007.","Cu Mining and mineral processing HYDRO, embodied E"
2011,18.05505,,"Norgate, Terry, and Sharif Jahanshahi. 2011. “Reducing the Greenhouse Gas Footprint of Primary Metal Production: Where Should the Focus Be?” Minerals Engineering 24 (14): 1563–70. https://doi.org/10.1016/j.mineng.2011.08.007.","Cu Mining and mineral processing PYRO, emboied E"
2012,,,,
2013,3.499902,,"Elshkaki, Ayman, T. E. Graedel, Luca Ciacci, and Barbara K. Reck. 2016. “Copper Demand, Supply, and Associated Energy Use to 2050.” Global Environmental Change 39 (July): 305–15. https://doi.org/10.1016/j.gloenvcha.2016.06.006.","range of 30-90 for ""primary production"", which 18% is due to mining+3% for tailings, UNEP 2013"
2014,2.2444,92.57%,"Lagos, Gustavo, David Peters, Alvaro Videla, and José Joaquín Jara. “The Effect of Mine Aging on the Evolution of Environmental Footprint Indicators in the Chilean Copper Mining Industry 2001–2015.” Journal of Cleaner Production 174 (February 10, 2018): 389–400. https://doi.org/10.1016/j.jclepro.2017.10.290.","Table 1, open pit mine, likely includes transport, not embodied E"
2015,1.0972,43.54%,"Lagos, Gustavo, David Peters, Alvaro Videla, and José Joaquín Jara. “The Effect of Mine Aging on the Evolution of Environmental Footprint Indicators in the Chilean Copper Mining Industry 2001–2015.” Journal of Cleaner Production 174 (February 10, 2018): 389–400. https://doi.org/10.1016/j.jclepro.2017.10.290.","Table 1, underground mine, likely includes transport, not embodied E"
2016,,,,
2017,,,,
2018,,,,
2019,4.0231,20%,"Farjana, Shahjadi Hisan, Nazmul Huda, and M. A. Parvez Mahmud. 2019. “Life Cycle Analysis of Copper-Gold-Lead-Silver-Zinc Beneficiation Process.” Science of The Total Environment 659 (April): 41–52. https://doi.org/10.1016/j.scitotenv.2018.12.318.",Table 2 sum energies exclude transport
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
