Year,"Wood Mackenzie Power & Renewables, US PV Forecasts (2023 year in review)","K. Bolcar and K. Ardani, “National Survey Report of PV Power Applications in the United States 2010,” IEA-PVPS, National Survey T1-19:2010, 2010. [Online]. Table 3. Available: https://iea-pvps.org/national-survey-reports/.","F. H. Morse, “IEA PVPS Task 1 1993,” IEA-PVPS, IEA PVPS T1:1993, Mar. 1995. Accessed: Aug. 13, 2020. [Online]. Available: https://iea-pvps.org/wp-content/uploads/2020/01/tr_1993.pdf.","M. Bolinger, J. Seel, and D. Robson, “Utility-Scale Solar 2019,” LBNL, Dec. 2019. Accessed: Aug. 13, 2020. [Online]. Available: https://emp.lbl.gov/sites/default/files/lbnl_utility_scale_solar_2019_edition_final.pdf.","“IRENA RE Time Series,” Tableau Software. https://public.tableau.com/views/IRENARETimeSeries/Charts?:embed=y&:showVizHome=no&publish=yes&:toolbar=no (accessed 5/14/2024).","“U.S. Solar Market Insight Report: 2012 Year in Review Full Report,” Greentech Media Inc. & SEIA, 2013.","M. Bolinger, J. Seel, C. Warner, and D. Robson, “Utility-Scale Solar, 2021 Edition,” p. 62, 2021."
1995,,,76.5,,,,
1996,,9.7,,,,,
1997,,11.7,,,,,
1998,,11.9,,,,,
1999,,17.2,,,,,
2000,,21.5,,,,4,
2001,,29,,,37,11,
2002,,44.4,,,42,23,
2003,,63,,,38,45,
2004,,100.8,,,70,58,
2005,,103,,,130,79,
2006,,4,,,205,105,
2007,,347.5,,160,276,160,160
2008,,338,,289,179,298,288.5
2009,,464.5,,435,461,435,434.5
2010,1039.355354,916,,850,1295,852,848.8379606
2011,2381.242594,,,1921,2263,1919,1940.737204
2012,3969.141384,,,3374,2965,3369,3373.855007
2013,5657.090232,,,4766,3622,4751,4765.80203
2014,5995.543764,,,6244,4225,,6244.849569
2015,8031.194044,,,7500,5700,,7509.05788
2016,15292.86041,,,15152,11274,,15103.94401
2017,11821.51692,,,10845,8399,,11080.06442
2018,10851.7023,,,10618,10068.5,,10754.75667
2019,13780.87537,,,,7498,,13484.1566
2020,19676.66883,,,,14864,,19221.11345
2021,23504.25406,,,,19218,,
2022,21471.5162,,,,18970,,
2023,32358.14892,,,,24844,,
2024,,,,,,,
2025,,,,,,,
2026,,,,,,,
2027,,,,,,,
2028,,,,,,,
2029,,,,,,,
2030,,,,,,,
2031,,,,,,,
2032,,,,,,,
2033,,,,,,,
2034,,,,,,,
2035,,,,,,,
2036,,,,,,,
2037,,,,,,,
2038,,,,,,,
2039,,,,,,,
2040,,,,,,,
2041,,,,,,,
2042,,,,,,,
2043,,,,,,,
2044,,,,,,,
2045,,,,,,,
2046,,,,,,,
2047,,,,,,,
2048,,,,,,,
2049,,,,,,,
2050,,,,,,,
