Year,avg_cell
1995,100.0
1996,100.0
1997,100.0
1998,100.0
1999,100.0
2000,64.0
2001,64.0
2002,63.999999999999986
2003,64.0
2004,64.0
2005,63.999999999999986
2006,64.0
2007,64.0
2008,64.0
2009,64.0
2010,41.0913872452334
2011,41.0913872452334
2012,41.0913872452334
2013,41.0913872452334
2014,41.0913872452334
2015,41.0913872452334
2016,40.997570089490154
2017,40.79706754261417
2018,40.70117992187873
2019,40.16948883967769
2020,36.62115780788019
2021,40.42669018397761
2022,31.86648933629948
2023,27.982891126047654
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
