year,E_Pyro_Cu_kWhpkg,PrctFuel,Source,Notes
1980,8.57,30,"Pitt, C. H., and M. E. Wadsworth. 1980. “Assessment of Energy Requirements in Proven and New Copper Processes. Final Report.” DOE/CS/40132-T1. Utah Univ., Salt Lake City (USA). Dept. of Metallurgy and Metallurgical Engineering. https://doi.org/10.2172/6878932. “Chapter 7 Energy Use in the Copper Industry.” 1988. In . https://www.princeton.edu/~ota/disk2/1988/8808/880809.PDF.","milling (table7.1), smelting, converting, table 7.4"
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
2002,6.34,52,"Alvarado, S, P Maldonado, A Barrios, and I Jaques. 2002. “Long Term Energy-Related Environmental Issues of Copper Production.” Energy 27 (2): 183–96. https://doi.org/10.1016/S0360-5442(01)00067-6.","concentration, drying, Smelting and electrorefining table 4"
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,9.62,56,"Marsden, John O. 2008. “Energy Efficiency & Copper Hydrometallurgy.” Presented at the Hydrometallurgy 6th Annual Symposium SME, Arizona, August. http://metallurgium.com/pdf/JOM%20Energy%20Hydromet%202008%20rev5.pdf.","slide 29, pyro path: HPGR, ball, float, smelt, refine"
2008,12.45,53,"Marsden, John O. “Energy Efficiency & Copper Hydrometallurgy.” Presented at the Hydrometallurgy 6th Annual Symposium SME, Arizona, August 2008. http://metallurgium.com/pdf/JOM%20Energy%20Hydromet%202008%20rev5.pdf.","SAG mill, ball mill, float, gravity, smelt, refine, slides 29 and 33"
2009,,,,
2010,,,,
2011,,,,
2012,,,,
2013,,,,
2014,,,,
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
