year,E_mfg_kWhpkg,Source,Notes,E_mfg_FUEL_kWhpkg,Source,Notes
1995,19,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.","""rough estimate"" based off higher than polyethylene, includes through foil extrusion",0,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,7.152,"EcoInvent V2, Dupont 2005","sum of electricity in processes natgas->PVF dispersion, rough estimation based on Krieger et al 2006 EUPVSEC (can't find), wtd acetylene for mass change, all others ~1",17.555,"EcoInvent V2, Dupont 2005","sum of energy fuels and heat in processes natgas->PVF dispersion, natgas, wtd acetylene for mass change, all others ~1"
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,31.11,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.","Route 2, table 6",0,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.",unspecified eletricity vs fuel
2012,28.33,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.","Route 1 , table 6",0,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.",unspecified eletricity vs fuel
2013,0.6944425,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.","Route 2, page 33 Table 5 (ratio in table 6 is 1:1)",0.555554,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.","Route 2, page 33 Table 5"
2014,7.27222146,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.",Route 1 page30+pg31+pg32 table 4,24.13104354,"Abbasi, Salman Ali. 2014. “Exergetic Life Cycle Assessment of Electrospun Polyvinylidene Fluoride Nanofibers.” Master of Science, Department of Mechanical Engineering College of Engineering University of South Florida. https://digitalcommons.usf.edu/etd/5346.","Route 1 heating for pyrolysis, page 29+pg30 heating+pg32 table 4*2.17 kg of R-132bfor 1 kg PVDF table 6"
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,13.68129,"Hu, Xiaomeng, Alicia K. J. An, and Shauhrat S. Chopra. 2022. “Life Cycle Assessment of the Polyvinylidene Fluoride Polymer with Applications in Various Emerging Technologies.” ACS Sustainable Chemistry & Engineering 10 (18): 5708–18. https://doi.org/10.1021/acssuschemeng.1c05350.","Route 2 - assumes electrical heating, patents (1964-2007) to create PVDF synthesis,",0,,
2022,49.5516,"Hu, Xiaomeng, Alicia K. J. An, and Shauhrat S. Chopra. 2022. “Life Cycle Assessment of the Polyvinylidene Fluoride Polymer with Applications in Various Emerging Technologies.” ACS Sustainable Chemistry & Engineering 10 (18): 5708–18. https://doi.org/10.1021/acssuschemeng.1c05350.","Route 1 - assumes electrical heating, patents (1964-2007) to create PVDF synthesis,",0,,
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
