year,E_mfg_kWhpkg,Source,Notes,E_mfg_FUEL_kWhpkg,Source,Notes
1993,1.27803,Ecoinvent 2,"per kg input, extrusion of plastic film",0.225027148,Ecoinvent 2,"per kg input, heating natural gas, extrusion of plastic film"
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,0.52778,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 47, film extrusion, electricity, from Novem 1997",0,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 47, film extrusion, gas, from Novem 1997"
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,2.8052,"EcoInvent V2, Dupont 2005",PVF film production electricity,7.995010947,"EcoInvent V2, Dupont 2005",PVF film production heat from natgas
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,0.4,"Dormer, A. et al. (2013) ‘Carbon footprint analysis in plastics manufacturing’, Journal of Cleaner Production, 51, pp. 133–141. Available at: https://doi.org/10.1016/j.jclepro.2013.01.014.","extrusion fit function, fig 7 a 10 kg/min (low-ish speed)",0,,
2013,0.15278,"Li, W., Kara, S. and Kornfeld, B. (2013) ‘Developing Unit Process Models for Predicting Energy Consumption in Industry: A Case of Extrusion Line’, in A.Y.C. Nee, B. Song, and S.-K. Ong (eds) Re-engineering Manufacturing for Sustainability. Singapore: Springer Singapore, pp. 147–152. Available at: https://doi.org/10.1007/978-981-4451-48-2_24.","experimental control of extruder, conf paper",0,,
2014,0.75,"Deng, J. et al. (2014) ‘Energy monitoring and quality control of a single screw extruder’, Applied Energy, 113, pp. 1775–1785. Available at: https://doi.org/10.1016/j.apenergy.2013.08.084.","Tables 5-7 avg-ish of total SEC of barrel screw extruder, heating appears to be all electric",0,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
