Year,Si_gpercell
1995,8.484214285714286
1996,8.317857142857143
1997,8.151500000000002
1998,7.985142857142859
1999,7.818785714285715
2000,11.956919642857143
2001,11.696986607142856
2002,11.437053571428576
2003,11.177120535714288
2004,10.9171875
2005,9.097656250000004
2006,7.278125
2007,6.914218750000001
2008,6.5503125
2009,6.5503125
2010,10.20213792
2011,10.20213792
2012,10.20213792
2013,10.20213792
2014,10.20213792
2015,10.20213792
2016,10.225484073444349
2017,10.275738557976204
2018,10.09442500301685
2019,10.009689412470765
2020,10.379518584568771
2021,9.290637029844461
2022,9.31843912943905
2023,9.342366116594139
2024,9.781205037045831
2025,10.207631840328165
2026,10.452278313693565
2027,10.496391123299041
2028,10.642147912220793
2029,10.637607691036463
2030,10.706457012608684
2031,
2032,
