year,E_wireDraw_kWhpkg,PrctFuel,Source,Notes
1995,2.778,,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.","Estimate, 18 GJ/ton to melt Cu, only need to soften for forming/pulling"
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
2002,,,,
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,0.230944438,,"Bumby, Sarah, Ekaterina Druzhinina, Rebe Feraldi, Danae Werthmann, Roland Geyer, and Jack Sahl. 2010. “Life Cycle Assessment of Overhead and Underground Primary Power Distribution.” Environmental Science & Technology 44 (14): 5587–93. https://doi.org/10.1021/es9037879.","LCA of grid distribution system, Supplemental includes rod and wire details, nat gas is the 0.0014 MJ, rest is electricity"
2011,,,,
2012,14.698514,,"“The Environmental Profile of Copper Products A ‘cradle-to-Gate‘ Life-Cycle Assessment for Copper Tube, Sheet and Wire Produced in Europe.” 2012. European Copper Institute.","PED from LCA from EU copper institute, includes 2ndary material, full lifecycle through wire"
2013,,,,
2014,,,,
2015,,,,
2016,,,,
2017,,,,
2018,0.169951667,,"Rodriguez-Alabanda, O., P. E. Romero, G. Guerrero-Vaca, and L. Sevilla. 2018. “Software Implementation of a New Analytical Methodology Applied to the Multi-Stage Wire Drawing Process: The Case Study of the Copper Wire Manufacturing Line Optimization.” The International Journal of Advanced Manufacturing Technology 96 (5–8): 2077–89. https://doi.org/10.1007/s00170-018-1657-y.","are selling a software optimizing wire pulling, some steps should probably be added together, taken best guess"
2019,,,,
2020,,,,
2021,2.16079536,,"Yu, Huiling, Hao Sun, Weixia Liu, Ruiqiu Zhang, Yurong Yan, and Songping Wu. 2021. “A Multidimensional Evaluation Method for the Service Life of Scrapped Copper Wires.” Advanced Sustainable Systems 5 (10): 2100160. https://doi.org/10.1002/adsu.202100160.",Table 1 updrawing casting machine + big drawing machine + wire drawing machine. Poorly written paper. Data might be from GaBi or Chinese mfgers
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
