Year,0.5x1,0.7x1.4,0.55x1.2,0.8x1.2,0.8x1.6,0.7x1.5,1x1.5,1x1.65
1992,100,0,0,0,,,,
1993,75,25,0,0,,,,
1994,70,20,5,5,,,,
1995,60,20,10,10,,,,
1996,50,20,15,15,0,,,
1997,10,20,30,30,10,,,
1998,0,0,30,40,30,,,
1999,,,25,35,40,,,
2000,,,20,30,50,,,
2001,,,15,25,60,,,
2002,,,10,20,70,0,0,0
2003,,,10,15,55,10,5,5
2004,,,5,5,50,20,10,10
2005,,,0,0,10,30,30,30
2006,,,,,10,25,25,40
2007,,,,,10,20,20,50
2008,,,,,10,15,15,60
2009,,,,,10,10,10,70
2010,,,,,5,10,10,75
2011,,,,,5,5,10,80
2012,,,,,5,5,5,85
2013,,,,,5,0,5,90
2014,,,,,0,,5,95
2015,,,,,,,0,100
