year,E_mfg_kWhpkg,Source,Notes,E_mfg_FUEL_kWhpkg,Source,Notes
1980,0.781,"Brown, H.L. (1996) Energy Analysis of 108 Industrial Processes. The Fairmont Press, Inc.,","LDPE pg. 148-150, convert BTU to kWh,",1.03,"Brown, H.L. (1996) Energy Analysis of 108 Industrial Processes. The Fairmont Press, Inc., pg. 148-150",LDPE fuel for boiler (makes process steam) and generator
1981,0.23240623,"Brown, H.L. (1996) Energy Analysis of 108 Industrial Processes. The Fairmont Press, Inc.,","unknown plastic, pg 152-153",1.385521045,"Brown, H.L. (1996) Energy Analysis of 108 Industrial Processes. The Fairmont Press, Inc., pg. 148-150",LDPE fuel for boiler (makes process steam) and generator
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,0.00333324,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","CED of new cracker plants, ethylene",,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,0.8333,"Harding, K.G. et al. (2007) ‘Environmental analysis of plastic production processes: Comparing petroleum-based polypropylene and polyethylene with biologically-based poly-β-hydroxybutyric acid using life cycle analysis’, Journal of Biotechnology, 130(1), pp. 57–66. Available at: https://doi.org/10.1016/j.jbiotec.2007.02.012.","Frischknecht and Suter 1996, LDPE electricity, CED ~80 MJ/kg",,,
1995,19,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.","CED ""rough estimate"" based off higher than polyethylene, includes through foil extrusion",3.94444,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 38, polymerization PET, steam, ethylene"
1996,0.9167,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 38, polymerization PET, electricity",0.86111,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 38, polymerization PET, gas, ethylene"
1997,0.056,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Steamcracking is primary production of ethylene, page 12 average of 4 feedstocks",2.88889,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","Table 38, polymerization PET, fuel, ethylene"
1998,0.0833,"Holmgren, K.M. et al. (2014) ‘Gasification-based methanol production from biomass in industrial clusters: Characterisation of energy balances and greenhouse gas emissions’, Energy, 69, pp. 622–637. Available at: https://doi.org/10.1016/j.energy.2014.03.058.","Table 1, based on Joosten 1998, ethylene production",1.083333,"Holmgren, K.M. et al. (2014) ‘Gasification-based methanol production from biomass in industrial clusters: Characterisation of energy balances and greenhouse gas emissions’, Energy, 69, pp. 622–637. Available at: https://doi.org/10.1016/j.energy.2014.03.058.","Table 1, based on Joosten 1998, ethylene production, steam+external fuel"
1999,,,,,,
2000,0.494654512,Ecoinvent 2,EVA copolymer production+ethylene production*1+vinyl acetate production*0.2+acetic acid production*.7,1.161,Ecoinvent 2,"EVA copolymer production +vinyl acetate production*1+acetic acid production*0.7, heat natural gas"
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
