,"“U.S. Solar Market Insight Report: 2012 Year in Review Full Report,” Greentech Media Inc. & SEIA, 2013.",,,,,Wood Mackenzie,,,,,"Sherwood, 2009, Fig. 2 bar digitized",,,,,,,"“U.S. Solar Market Insight Report: 2012 Year in Review Full Report,” Greentech Media Inc. & SEIA, 2013.",,"Sherwood, 2009, Fig. 2 bar digitized",,Wood Mackenzie,
,Installations (MWdc),,,,,Annual Installed Capacity MWdc,,,,,"Annual Installed, Grid Connected MWdc",,,,,,Year,MWdc,PCT,MWdc,PCT,MWdc,PCT
Year,Residential,Commercial,Utility,Comm+Util (MWdc),%Comm+Utility, Non-Residential,Utility,Comm+Util (MWdc),Total Installs,%Comm+Utility,Residential,Commercial,Utility,Comm+Util (MWdc),% comm+Utility,,1995,,,,,,
1995,,,,,,,,,,,,,,,,,1996,,,,,,
1996,,,,,,,,,,,,,,,,,1997,,,,,,
1997,,,,,,,,,,,,,,,,,1998,,,,,,
1998,,,,,,,,,,,,,,,,,1999,,,3,1,,
1999,,,,,,,,,,,0,3,0,3,100%,,2000,9.9,1,3.5,1,,
2000,0,9.9,0,9.9,100%,,,,,,0,3,0.5,3.5,100%,,2001,5,0.33557047,6.3,0.525,,
2001,9.9,5,0,5,34%,,,,,,5.7,2.6,3.7,6.3,53%,,2002,19.8,0.666666667,11.5,0.5,,
2002,9.9,9.9,9.9,19.8,67%,,,,,,11.5,8.8,2.7,11.5,50%,,2003,29.8,0.600806452,30.2,0.659388646,,
2003,19.8,24.8,5,29.8,60%,,,,,,15.6,26.6,3.6,30.2,66%,,2004,29.8,0.500840336,33.3,0.576124567,,
2004,29.7,29.8,0,29.8,50%,,,,,,24.5,31.2,2.1,33.3,58%,,2005,49.6,0.588374852,51,0.648854962,,
2005,34.7,49.6,0,49.6,59%,,,,,,27.6,51,0,51,65%,,2006,69.3,0.635779817,66.7,0.640115163,,
2006,39.7,69.3,0,69.3,64%,,,,,,37.5,66.7,0,66.7,64%,,2007,109,0.646884273,102.6,0.639650873,,
2007,59.5,94.2,14.8,109,65%,,,,,,57.8,93.2,9.4,102.6,64%,,2008,218.1,0.721230159,212.5,0.732506032,,
2008,84.3,198.3,19.8,218.1,72%,,,,,,77.6,189.6,22.9,212.5,73%,,2009,267.8,0.613797846,,,,
2009,168.5,208.2,59.6,267.8,61%,680.09627,101.1,781.19627,1168.0478,67%,,,,,,,2010,602,0.70990566,,,598.387075,0.704948533
2010,246,336,266,602,71%,331.887075,266.5,598.387075,848.8379606,70%,,,,,,,2011,1586,0.839597671,,,1596.918715,0.822841295
2011,303,826,760,1586,84%,811.3241048,785.59461,1596.918715,1940.737204,82%,,,,,,,2012,2825,0.852444176,,,2870.809634,0.850898936
2012,489,1043,1782,2825,85%,1067.633634,1803.176,2870.809634,3373.855007,85%,,,,,,,2013,,,,,3958.922613,0.830693887
2013,,,,,,1101.412613,2857.51,3958.922613,4765.80203,83%,,,,,,,2014,,,,,4957.51874,0.793857192
2014,,,,,,1035.57774,3921.941,4957.51874,6244.849569,79%,,,,,,,2015,,,,,5323.592722,0.708956144
2015,,,,,,1055.612722,4267.98,5323.592722,7509.05788,71%,,,,,,,2016,,,,,12424.38897,0.822592361
2016,,,,,,1675.442728,10748.94624,12424.38897,15103.94401,82%,,,,,,,2017,,,,,8718.598546,0.78687255
2017,,,,,,2250.061053,6468.537492,8718.598546,11080.06442,79%,,,,,,,2018,,,,,8317.955097,0.773289178
2018,,,,,,2199.18,6118.775097,8317.955097,10756.59059,77%,,,,,,,2019,,,,,10538.67695,0.779827839
2019,,,,,,2145.64,8393.036954,10538.67695,13514.10713,78%,,,,,,,2020,,,,,16027,0.823973853
2020,,,,,,2074,13953,16027,19450.85992,82%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
