Year,WikipediaPlot-GlobalMarketshare-MonoAndMulti,"P. Mints, “Photovoltaic Manufacturer Capacity, Shipments, Price & Revenues,” SPV Market Research (Based on world, based on MFG and shipments, not installs)","“Photovoltaics Report,” 2020, [Online]. Available: https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Photovoltaics-Report.pdf. Slide 21, ""PV Production by Technology""","“Photovoltaics Report,” Freiburg, Jul. 28, 2014, [Online]. Available: www.ise.fraunhofer.de. Slide 18"
1980,,,100,98
1981,,,97,93
1982,,,92,89
1983,,,87,86
1984,,,79,79
1985,,,77,76
1986,,,71,70
1987,,,68,68
1988,,,68,68
1989,,,72,72
1990,98,,73,73
1991,91,,78,78
1992,86,,80,80
1993,78,,84,84
1994,72,,86,85
1995,68,,87,86
1996,71,,86,83
1997,74,,88,85
1998,79,,88,85
1999,84,,89,87
2000,85,,90,86
2001,84,,91,88
2002,85,,94,91
2003,86,,95,91
2004,86,,95,91
2005,89,,94,92
2006,91,,93,91
2007,91,,89,86
2008,91,83.36,86,83
2009,86,81.22,83,81
2010,82,85.14,88,85
2011,85,85.72,86,86
2012,88,89.36,91,90
2013,91,90.61,91,91
2014,,93.72,92,
2015,,93.08,94,
2016,,94.68,94,
2017,,96.39,96,
2018,,95.87,96,
2019,,94.38,95,
2020,,95.35,95,
2021,,95,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
