Year,IRENA online query tool (https://public.tableau.com/views/IRENARETimeSeries/Charts?:embed=y&:showVizHome=no&publish=yes&:toolbar=no),"IEA Member Country Report, 1995 (https://iea-pvps.org/wp-content/uploads/2020/01/tr_1995_01.pdf)",IEA PVPS Task 1 Market Snapshot Reports https://iea-pvps.org/snapshot-reports/,"A. Goetzberger, C. Hebling, and H.-W. Schock, “Photovoltaic materials, history, status and outlook,” Materials Science and Engineering: R: Reports, vol. 40, no. 1, pp. 1–46, Jan. 2003, doi: 10.1016/S0927-796X(02)00092-X."
1990,,,,
1991,,14.1,,
1992,,24.9,,57.9
1993,,24.1,,60.1
1994,,27,,69.4
1995,,32.1,,77.7
1996,,,,88.6
1997,,,,125.8
1998,,,,151.7
1999,,,100.756,201.5
2000,,,251.889,277.9
2001,284.628,,302.267,381.3
2002,345.541,,403.023,
2003,528.626,,503.778,
2004,1086.31,,1057.935,
2005,1493.993,,1309.824,
2006,1538.639,,1360.202,
2007,2410.131,,2418.136,
2008,6218.636,,6397.985,
2009,8102.34,,7254.408,
2010,17461.66,,16473.55,
2011,31754.74,,29219.14,
2012,29484.29,,29420.65,
2013,34235.6,,36900,
2014,35835.7,,38700,
2015,45751.9,,50000,
2016,73738.2,,75400,
2017,92516.1,,98000,
2018,97388.1,,99900,
2019,97569.1,,115000,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
