year,E_Cz_kWhpkg,Source,Notes,E_mcSiCast_kWhpkg,Source,Notes
1990,,,"Make sure to account for BOULE of Si, not ""ingot"", b.c whole boule has to be grown but ingot is useable part (ex: 375 kg boule of which 288kg is useable",10.5,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.",Crystalox Ltd 1525 kWh of electricity for a 145 kg block
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,385,"K. Kaneko, R. Kawamura, and T. Misawa, “Present status and future prospects of electromagnetic casting for silicon solar cells,” in Proceedings of 1994 IEEE 1st World Conference on Photovoltaic Energy Conversion - WCPEC (A Joint Conference of PVSC, PVSEC and PSEC), Dec. 1994, vol. 1, pp. 30–33 vol.1. doi: 10.1109/WCPEC.1994.519805.","cost comparison to EMC, reverse enginering Cz 6"" diameter, 50 ton/yr",,,
1995,,,,,,
1996,250,"E. D. Williams, R. U. Ayres, and M. Heller, “The 1.7 Kilogram Microchip: Energy and Material Use in the Production of Semiconductor Devices,” Environ. Sci. Technol., vol. 36, no. 24, pp. 5504–5510, Dec. 2002, doi: 10.1021/es025643o.",50% yield on Cz,,,
1997,214,"K. Kato, A. Murata, and K. Sakuta, “Energy pay-back time and life-cycle CO2 emission of residential PV power system with silicon PV module,” Prog. Photovolt: Res. Appl., vol. 6, no. 2, pp. 105–115, Mar. 1998, doi: 10.1002/(SICI)1099-159X(199803/04)6:2<105::AID-PIP212>3.0.CO;2-C.",,,,
1998,,,,,,
1999,117,"K. Knapp and T. Jester, “Empirical investigation of the energy payback time for photovoltaic modules,” Solar Energy, vol. 71, no. 3, pp. 165–172, Jan. 2001, doi: 10.1016/S0038-092X(01)00033-0.",Hsu 2012 indicates this ingot growth no longer in use,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,123,"N. Jungbluth, “Life cycle assessment of crystalline photovoltaics in the Swiss ecoinvent database,” Progress in Photovoltaics: Research and Applications, vol. 13, no. 5, pp. 429–446, 2005, doi: 10.1002/pip.614.",,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,68.18,"M. J. (Mariska) de Wild-Scholten, “Energy payback time and carbon footprint of commercial photovoltaic systems,” Solar Energy Materials and Solar Cells, vol. 119, pp. 296–305, Dec. 2013, doi: 10.1016/j.solmat.2013.08.037.",Solar grade from Siemens,15.5,"M. J. (Mariska) de Wild-Scholten, “Energy payback time and carbon footprint of commercial photovoltaic systems,” Solar Energy Materials and Solar Cells, vol. 119, pp. 296–305, Dec. 2013, doi: 10.1016/j.solmat.2013.08.037.",
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,68.2,"V. Fthenakis and E. Leccisi, “Updated sustainability status of crystalline silicon-based photovoltaic systems: Life-cycle energy and environmental impact reduction trends,” Progress in Photovoltaics: Research and Applications, vol. 29, no. 10, pp. 1068–1077, 2021, doi: 10.1002/pip.3441.",,15.5,"V. Fthenakis and E. Leccisi, “Updated sustainability status of crystalline silicon-based photovoltaic systems: Life-cycle energy and environmental impact reduction trends,” Progress in Photovoltaics: Research and Applications, vol. 29, no. 10, pp. 1068–1077, 2021, doi: 10.1002/pip.3441.",
2016,,,,,,
2017,35,"ITRPV 2019, Fig 19",,6.5,"ITRPV 2019, Fig 19",
2018,87,"M. A. Woodhouse, B. Smith, A. Ramdas, and R. M. Margolis, “Crystalline Silicon Photovoltaic Module Manufacturing Costs and Sustainable Pricing: 1H 2018 Benchmark and Cost Reduction Road Map,” NREL/TP-6A20-72134, 1495719, Feb. 2019. doi: 10.2172/1495719.","wafer = 156.75mm x 180 micron, energy includes wafering",34,"M. A. Woodhouse, B. Smith, A. Ramdas, and R. M. Margolis, “Crystalline Silicon Photovoltaic Module Manufacturing Costs and Sustainable Pricing: 1H 2018 Benchmark and Cost Reduction Road Map,” NREL/TP-6A20-72134, 1495719, Feb. 2019. doi: 10.2172/1495719.","wafer = 156.75mm x 180 micron, energy includes wafering"
2019,32,"ITRPV 2020, Fig. 6",,7,"ITRPV 2020, Fig. 6",
2020,38.4,"A. Müller, L. Friedrich, C. Reichel, S. Herceg, M. Mittag, and D. H. Neuhaus, “A comparative life cycle assessment of silicon PV modules: Impact of module design, manufacturing location and inventory,” Solar Energy Materials and Solar Cells, vol. 230, p. 111277, Sep. 2021, doi: 10.1016/j.solmat.2021.111277.","electrical only, LCI from Friedrich",,,
2021,101.6,"M. Fan, Z. Yu, W. Ma, and L. Li, “Life Cycle Assessment of Crystalline Silicon Wafers for Photovoltaic Power Generation,” Silicon, vol. 13, no. 9, pp. 3177–3189, Sep. 2021, doi: 10.1007/s12633-020-00670-4.","factory survey, includes ingot and wafering",40.95,"M. Fan, Z. Yu, W. Ma, and L. Li, “Life Cycle Assessment of Crystalline Silicon Wafers for Photovoltaic Power Generation,” Silicon, vol. 13, no. 9, pp. 3177–3189, Sep. 2021, doi: 10.1007/s12633-020-00670-4.","factory survey, includes ingot and wafering"
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
