year,E_HQrecycle_kWhpkg,Source,Notes,E_HQrecycle_fuel_kWhpkg,Source,Notes
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,,,,,,
2006,0.199999944,"Neelis, M. et al. (2007) ‘Approximation of theoretical energy-saving potentials for the petrochemical industry using energy balances for 68 key processes’, Energy, 32(7), pp. 1104–1123. Available at: https://doi.org/10.1016/j.energy.2006.08.005.","A1, vinyl chloride from ethylene",0.999999997,"Neelis, M. et al. (2007) ‘Approximation of theoretical energy-saving potentials for the petrochemical industry using energy balances for 68 key processes’, Energy, 32(7), pp. 1104–1123. Available at: https://doi.org/10.1016/j.energy.2006.08.005.","A1, vinyl chloride from ethylene, plus some steam"
2007,0.5667,"Neelis, M. et al. (2007) ‘Approximation of theoretical energy-saving potentials for the petrochemical industry using energy balances for 68 key processes’, Energy, 32(7), pp. 1104–1123. Available at: https://doi.org/10.1016/j.energy.2006.08.005.","A1, polyethylene (add to ethylene)",8.931,"Neelis, M. et al. (2007) ‘Approximation of theoretical energy-saving potentials for the petrochemical industry using energy balances for 68 key processes’, Energy, 32(7), pp. 1104–1123. Available at: https://doi.org/10.1016/j.energy.2006.08.005.","A1, Ethylene"
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,0.4,"Golkaram, M., and L.P. Heemskerk. 2022. “Comparative Environmental Life Cycle Assessment of PET/LDPE, MONO PET and MONO PE Films.” TNO report Internal TNO 2022 R11604. The Netherlands: TNO Circular Economy & Environment. https://www.bopetfilmseurope.com/wp-content/uploads/2023/02/TNO-report-R11604-LCA-report-BOPET-14-09-2022_Final_Signed_docx.pdf.","Table 10, PET pyrolysis",0.049230769,"Golkaram, M., and L.P. Heemskerk. 2022. “Comparative Environmental Life Cycle Assessment of PET/LDPE, MONO PET and MONO PE Films.” TNO report Internal TNO 2022 R11604. The Netherlands: TNO Circular Economy & Environment. https://www.bopetfilmseurope.com/wp-content/uploads/2023/02/TNO-report-R11604-LCA-report-BOPET-14-09-2022_Final_Signed_docx.pdf.","Table 10, PET pyrollysis ""heat"""
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,16.212509,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S27, CED, Dissolution, enzymatic, glycolysis avg PET = HQ",6.347197274,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S27, CED, Dissolution, enzymatic, glycolysis avg PET = HQ * 0.5 less steam contribtion to CED (S33&34)"
2020,2.506709648,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S27, CED*.1243 from electricity table S34, Methanolysis PET = HQ",12.16046595,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S27, CED*.603 from steam table S34, Methanolysis PET = HQ"
2021,0.38043,"Xayachak, T. et al. (2023) ‘Assessing the environmental footprint of plastic pyrolysis and gasification: A life cycle inventory study’, Process Safety and Environmental Protection, 173, pp. 592–603. Available at: https://doi.org/10.1016/j.psep.2023.03.061.","Table S6, (HQCL) monomer recovery through pyrolysis, per tonne PO waste",0.249469959,"Xayachak, T. et al. (2023) ‘Assessing the environmental footprint of plastic pyrolysis and gasification: A life cycle inventory study’, Process Safety and Environmental Protection, 173, pp. 592–603. Available at: https://doi.org/10.1016/j.psep.2023.03.061.","Table S6, (HQCL) monomer recovery through pyrolysis, steam+heat+natgas from nat gas"
2022,0.67955,"Xayachak, T. et al. (2023) ‘Assessing the environmental footprint of plastic pyrolysis and gasification: A life cycle inventory study’, Process Safety and Environmental Protection, 173, pp. 592–603. Available at: https://doi.org/10.1016/j.psep.2023.03.061.",Table S7 (HQOL) high value chemical (usual fuel) production,0.702508107,"Xayachak, T. et al. (2023) ‘Assessing the environmental footprint of plastic pyrolysis and gasification: A life cycle inventory study’, Process Safety and Environmental Protection, 173, pp. 592–603. Available at: https://doi.org/10.1016/j.psep.2023.03.061.","Table S7 (HQOL) high value chemical (usual fuel) production, nat gas"
2023,,,,,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
