Year,busbarless,3busbars,4busbars,5busbars,6busbars,Source
2014,0,100,0,0,0,
2015,1,76,20,3,0,"ITRPV 2015, Fig. 27"
2016,2,52,40,6,0,"ITRPV 2016, Fig. 32"
2017,2,22,46,28,2,"ITRPV 2017, Fig. 34"
2018,6,12,33,46,3,"ITRPV 2018, Fig. 34"
2019,6,6,6,73,9,"ITRPV 2019, Fig. 34"
2020,11,2,3,63,21,"ITRPV 2019, Fig. 34"
2021,,,,,,
2022,14,0,0,52,34,"ITRPV 2019, Fig. 34"
2023,,,,,,
2024,16,0,0,32,52,"ITRPV 2019, Fig. 34"
2025,,,,,,
2026,,,,,,
2027,25,0,0,22,53,"ITRPV 2019, Fig. 34"
2028,,,,,,
2029,,,,,,
2030,35,0,0,8,57,"ITRPV 2019, Fig. 34"
