year,EVA,EVA+PO,Polyolefin,TPU,PVB,PDMS,Source,Notes
2013,100,,,,,,ITRPV 2014,implied in Fig. 11
2014,97,,2,0,1,0,"ITRPV 2015, Fig. 10",
2015,95,,3,0,2,0,"ITRPV 2016, Fig. 14",
2016,95,,2,1,2,0,"ITRPV 2017, Fig. 16",
2017,96,,3,0,1,0,"ITRPV 2018, Fig. 15",
2018,93,,5.5,0.5,1,0,ITRPV 2019 Fig. 15a,thicknesses between 425 micron and 455 micron
2019,91,0,6,1,1,1,ITRPV 2020 Fig. 49,all encapsulants at 450 micron thickness
2020,90,0.5,5,0.5,2,2,"ITRPV 2021, Fig, 43","8% white EVA, remainder clear EVA"
2021,82,5,10,1,2,0,"ITRPV 2021, Fig 44",10% white EVA
2022,78,8,10,1.5,2,0.5,"ITRPV 2021, Fig 44",
2023,,,,,,,,
2024,76,8,12,1,2,1,"ITRPV 2021, Fig 44",
2025,,,,,,,,
2026,69,12,12,2,3,2,"ITRPV 2021, Fig 44",
2027,,,,,,,,
2028,,,,,,,,
2029,68,11,14,2,3,2,"ITRPV 2021, Fig 44",
2030,,,,,,,,
2031,,,,,,,,
2032,65,10,18,2,3,2,"ITRPV 2021, Fig 44",
