year,E_MFG_Cd_Purify_[kWh/kg],prct_Fuel,Source,Notes
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,1.6,0,"Malinowska, B., M. Rakib, and G. Durand. “Cadmium Recovery and Recycling from Chemical Bath Deposition of CdS Thin Layers.” Progress in Photovoltaics: Research and Applications 10, no. 3 (2002): 215–28. https://doi.org/10.1002/pip.402.","electrolysis, 80% efficiency, is recovering Cobalt from CdS bath residues"
2002,1.21,0,"Safarzadeh, Mohammad Sadegh, and Davood Moradkhani. “The Electrowinning of Cadmium in the Presence of Zinc.” Hydrometallurgy 105, no. 1 (December 1, 2010): 168–71. https://doi.org/10.1016/j.hydromet.2010.09.005.","electrolytic specifc power consumption, others report 1.4 to 1.6"
2003,,,,
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,,,,
2011,,,,
2012,,,,
2013,,,,
2014,4.112222222,0,"Baghban, Elaheh, Arjomand Mehrabani-Zeinabad, and Ahmad Moheb. “The Effects of Operational Parameters on the Electrochemical Removal of Cadmium Ion from Dilute Aqueous Solutions.” Hydrometallurgy 149 (October 1, 2014): 97–105. https://doi.org/10.1016/j.hydromet.2014.07.013.","Table 2, experimental and modeling, working with an Aussi Zinc company! on a new bed reactor"
2015,2.82,0,"Baghban, E., A. Mehrabani-Zeinabad, and A. Moheb. “Improvement of Cadmium Ion Electrochemical Removal from Dilute Aqueous Solutions by Application of Multi-Stage Electrolysis.” International Journal of Environmental Science and Technology 11, no. 6 (September 1, 2014): 1591–1600. https://doi.org/10.1007/s13762-014-0579-y.","follow on experiment, has expression as a function of ppm, other papers also get around 3 kWh/kg"
2016,,,,
2017,,,,
2018,3.216666667,0,"Yadav, Deepak, and Rangan Banerjee. “A Comparative Life Cycle Energy and Carbon Emission Analysis of the Solar Carbothermal and Hydrometallurgy Routes for Zinc Production.” Applied Energy 229 (November 1, 2018): 577–602. https://doi.org/10.1016/j.apenergy.2018.08.001.","Table 8, sensitivity analysis of hydrometallurgy"
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,4.8,0,"Elsayed, E. “The Role of Electrochemistry and Electrochemical Technology in Environmental Protection, a Review.” International Journal of Materials Technology and Innovation 3, no. 2 (June 1, 2023): 37–63. https://doi.org/10.21608/ijmti.2023.168368.1062.","testing cathode design for water purification, not a great paper"
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
