year,E_refineSiemens_kWhpkg,E_Siemens_FuelFraction,Source,Notes,ErefineFBR kWhpkg,E_FBR_FuelFraction,Source,Notes
2017,73,31,"“Trends in Photovoltaic Applications 2019,” IEA-PVPS, IEA PVPS T1-36:2019, Aug. 2019. Accessed: Aug. 12, 2020. [Online]. Available: https://iea-pvps.org/wp-content/uploads/2020/02/5319-iea-pvps-report-2019-08-lr.pdf","""whole process""",,,,
2018,71,31,"“Trends in Photovoltaic Applications 2019,” IEA-PVPS, IEA PVPS T1-36:2019, Aug. 2019. Accessed: Aug. 12, 2020. [Online]. Available: https://iea-pvps.org/wp-content/uploads/2020/02/5319-iea-pvps-report-2019-08-lr.pdf","""whole process""",33,,"“Trends in Photovoltaic Applications 2019,” IEA-PVPS, IEA PVPS T1-36:2019, Aug. 2019. Accessed: Aug. 12, 2020. [Online]. Available: https://iea-pvps.org/wp-content/uploads/2020/02/5319-iea-pvps-report-2019-08-lr.pdf",
2019,91,,"A. Müller, L. Friedrich, C. Reichel, S. Herceg, M. Mittag, and D. H. Neuhaus, “A comparative life cycle assessment of silicon PV modules: Impact of module design, manufacturing location and inventory,” Solar Energy Materials and Solar Cells, vol. 230, p. 111277, Sep. 2021, doi: 10.1016/j.solmat.2021.111277.","electric(72) and thermal (70 MJ), from updated LCI Friedrich",,,,
2020,66.5,,"G. Masson and I. Kaizuka, “Trends in Photovoltaic Applications 2021,” IEA PVPS, IEA PVPS T1-41 : 2021, 2021. Accessed: Aug. 12, 2022. [Online]. Available: https://iea-pvps.org/wp-content/uploads/2022/01/IEA-PVPS-Trends-report-2021-4.pdf",electricity only? Whole process means fbr trichlorosilane plus siemens reactor reduction,,,,
2021,122.38,7,"M. Fan, Z. Yu, W. Ma, and L. Li, “Life Cycle Assessment of Crystalline Silicon Wafers for Photovoltaic Power Generation,” Silicon, vol. 13, no. 9, pp. 3177–3189, Sep. 2021, doi: 10.1007/s12633-020-00670-4.","""modified siemens"", electricity + steam energy (est 9 kWh)",,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
2025,,,,,,,,
2026,,,,,,,,
2027,,,,,,,,
2028,,,,,,,,
2029,,,,,,,,
2030,,,,,,,,
2031,,,,,,,,
2032,,,,,,,,
2033,,,,,,,,
2034,,,,,,,,
2035,,,,,,,,
2036,,,,,,,,
2037,,,,,,,,
2038,,,,,,,,
2039,,,,,,,,
2040,,,,,,,,
2041,,,,,,,,
2042,,,,,,,,
2043,,,,,,,,
2044,,,,,,,,
2045,,,,,,,,
2046,,,,,,,,
2047,,,,,,,,
2048,,,,,,,,
2049,,,,,,,,
2050,,,,,,,,
