year,E_LQrecycle_kWhpkg,Source,Notes,E_LQrecycle_fuel_kWhpkg,Source,Notes
1995,,,,,,
1996,,,,,,
1997,0.8333,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","MFG Scrap, possibly hq open loop?, pg 77 from Sas all electricity",0,,
1998,0.6111,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","EoL recycling, pg 70 & 71, energy to upgrade plastic in municipal waste, pg 71, preparation: grinding, separation, sieving, washing, drying, granulation",1.333,"Joosten, L.A.J. (1998) Process Data Descriptions for the production of synthetic organic materials: Input data for the MATTER study. Utrecht University The Netherlands.","pg 70 and Table 53, natural gas to upgrade plastic in municipal waste,"
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,0.70555358,"Arena, U., Mastellone, M.L. and Perugini, F. (2003) ‘Life Cycle assessment of a plastic packaging recycling system’, The International Journal of Life Cycle Assessment, 8(2), pp. 92–98. Available at: https://doi.org/10.1007/BF02978432.","Table 2, LQ Recycled PET, Electric energy of mechnical recycling",1.50832911,"Arena, U., Mastellone, M.L. and Perugini, F. (2003) ‘Life Cycle assessment of a plastic packaging recycling system’, The International Journal of Life Cycle Assessment, 8(2), pp. 92–98. Available at: https://doi.org/10.1007/BF02978432.","Table 2, Recycled PET, Diesel and Methane of mechanical recycling, LQ"
2004,,,,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,0.828,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","S30, total energy of sorting at MRF",0,,
2021,0.07,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","S31, electricity of sorting at MRF",0,,
2022,2.135,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S27, CED, Mechanical PET = LQ * 89.6% contribution from electricity (table S32)",0,"Uekert, T. et al. (2023) ‘Technical, Economic, and Environmental Comparison of Closed-Loop Recycling Technologies for Common Plastics’, ACS Sustainable Chemistry & Engineering [Preprint]. Available at: https://doi.org/10.1021/acssuschemeng.2c05497.","Table S32, nat gas 3% energy contributor to CED"
2023,0.0205,"Xayachak, T. et al. (2023) ‘Assessing the environmental footprint of plastic pyrolysis and gasification: A life cycle inventory study’, Process Safety and Environmental Protection, 173, pp. 592–603. Available at: https://doi.org/10.1016/j.psep.2023.03.061.","Table S2, pretreatment debailer, conveyer, drier, shredder",0,,
2024,,,,,,
2025,,,,,,
2026,,,,,,
2027,,,,,,
2028,,,,,,
2029,,,,,,
2030,,,,,,
2031,,,,,,
2032,,,,,,
2033,,,,,,
2034,,,,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,,
2048,,,,,,
2049,,,,,,
2050,,,,,,
