Year,mc-Si-diamond,Mono-Si-diamond,mc-Si-slurry,mono-Si-slurry,Source
1995,,,,,
1996,,,,,
1997,,,,,
1998,,,,,
1999,,,,,
2000,,,,,
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,,,,,
2010,,,,,
2011,,,,,
2012,,,,,
2013,,,,,
2014,,,,,
2015,,,,,
2016,,,,,
2017,16.75,15.7,19.5,18.75,"ITRPV 2018, Fig. 7"
2018,16.5,15.5,,,"ITRPV 2019, Fig. 5"
2019,16,15,,,"ITRPV 2020, Fig. 4"
2020,15.2,14.4,,,"ITRPV 2020, Fig. 4"
2021,,,,,
2022,15,14,,,
2023,,,,,
2024,14,13,,,
2025,,,,,
2026,,,,,
2027,13.8,12.5,,,
2028,,,,,
2029,,,,,
2030,13,12,,,
2031,,,,,
2032,,,,,
2033,,,,,
2034,,,,,
2035,,,,,
2036,,,,,
2037,,,,,
2038,,,,,
2039,,,,,
2040,,,,,
2041,,,,,
2042,,,,,
2043,,,,,
2044,,,,,
2045,,,,,
2046,,,,,
2047,,,,,
2048,,,,,
2049,,,,,
2050,,,,,
