Year,installed_pv_MW
1995,12.5
1996,9.7
1997,11.7
1998,11.9
1999,17.2
2000,21.5
2001,29.0
2002,44.4
2003,63.0
2004,100.8
2005,103.0
2006,105.0
2007,347.5
2008,338.0
2009,464.5
2010,1039.355354
2011,2381.242594
2012,3969.141384
2013,5657.090232
2014,5995.543764
2015,8031.194044
2016,15292.86041
2017,11821.51692
2018,10851.7023
2019,13780.87537
2020,19676.66883
2021,23504.25406
2022,21471.5162
2023,32358.14892
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
