year,E_mine_kWhpkg,PrctFuel,Source,Notes
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
2002,,,,
2003,0.32,,"U.S. Energy Requirements for Aluminum Production: Historical Perspective, Theoretical Limits and Current Practices (2007). EERE DOE, p. 150. Available at: https://www.energy.gov/sites/default/files/2013/11/f4/al_theoretical.pdf (Accessed: 7 November 2022).","pg 29/14, bauxite mining, 16.7 kg CO2"
2004,,,,
2005,,,,
2006,,,,
2007,,,,
2008,,,,
2009,,,,
2010,,,,
2011,9.72195,,"Norgate, Terry, and Sharif Jahanshahi. 2011. “Reducing the Greenhouse Gas Footprint of Primary Metal Production: Where Should the Focus Be?” Minerals Engineering 24 (14): 1563–70. https://doi.org/10.1016/j.mineng.2011.08.007.","Al mining and mineral processing, embodied E"
2012,,,,
2013,,,,
2014,,,,
2015,,,,
2016,,,,
2017,,,,
2018,0.014,56%,World Aluminium — Primary Aluminium Production (no date). Available at: https://www.world-aluminium.org/statistics/ (Accessed: 1 February 2021).,"calculations from 2019 LCI, see excel GLO, removed diesel for transport"
2019,0.00039,"mostly fuels, some electricity","Farjana, S.H., Huda, N. and Mahmud, M.A.P. (2019) ‘Impacts of aluminum production: A cradle to gate investigation using life-cycle assessment’, Science of The Total Environment, 663, pp. 958–970. Available at: https://doi.org/10.1016/j.scitotenv.2019.01.400.","bauxite mining, electricity shown, mostly fuels"
2020,1.13,,"Farjana, S.H., Huda, N. and Mahmud, M.A.P. (2019) ‘Impacts of aluminum production: A cradle to gate investigation using life-cycle assessment’, Science of The Total Environment, 663, pp. 958–970. Available at: https://doi.org/10.1016/j.scitotenv.2019.01.400.",Table 7 bauxite hhv
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
2039,,,,
2040,,,,
2041,,,,
2042,,,,
2043,,,,
2044,,,,
2045,,,,
2046,,,,
2047,,,,
2048,,,,
2049,,,,
2050,,,,
