year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
2019,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2020,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2021,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2022,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2023,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2024,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2025,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2026,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2027,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2028,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2029,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2030,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2031,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2032,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2033,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2034,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2035,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2036,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2037,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2038,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2039,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2040,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2041,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2042,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2043,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2044,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2045,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2046,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2047,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2048,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2049,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2050,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2051,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2052,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2053,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2054,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2055,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2056,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2057,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2058,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2059,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2060,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2061,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2062,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2063,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2064,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2065,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2066,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2067,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2068,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2069,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2070,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2071,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2072,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2073,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2074,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2075,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2076,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2077,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2078,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2079,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2080,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2081,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2082,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2083,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2084,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2085,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2086,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2087,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2088,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2089,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2090,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2091,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2092,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2093,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2094,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2095,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2096,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2097,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2098,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2099,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
2100,0.0062,3.512723628,86.79874429,1.4,1.4,0.09,78,0.61,1.4,1.4,50
