year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,years,%,%,%,%,%
2010,1200.65135,14.7,25,30,0.3,22.7,98,0,0,0,0
2011,2534.300109,15.1,25,30,0.3,23,98,0,0,0,0
2012,2534.300109,15.4,25,30,0.3,23.5,98,0,0,0,0
2013,5123.033732,16,28,33,0.3,24.2,98,0,0,0,0
2014,5123.033732,16.3,28,33,0.3,26,98,0,0,0,0
2015,9477.53731,17,28,33,0.3,28.7,98,0,0,0,0
2016,9477.53731,17.5,28,33,0.3,28.7,98,0,0,0,0
2017,9156.783125,17.7,28,33,0.3,29.5,98,0,0,0,0
2018,9156.783125,18.4,28,33,0.3,31,98,0,0,0,0
2019,16904.81495,19.2,28,33,0.3,32.4,98,0,0,0,0
2020,16904.81495,20.25258849,33,38,0.5,35,98,0,0,0,0
2021,4479.833668,20.8948648,33,38,0.5,35,98,0,0,0,0
2022,4479.833668,21.36288232,33,38,0.5,35,98,0,0,0,0
2023,13634.58969,21.73311205,33,38,0.5,35,98,0,0,0,0
2024,13634.58969,22.0403697,33,38,0.5,35,98,0,0,0,0
2025,28006.32474,22.30353889,33,38,0.5,35,98,0,0,0,0
2026,28006.32474,22.53404502,33,38,0.5,35,98,0,0,0,0
2027,26628.14038,22.73934244,40,44,0.5,35,98,0,0,0,0
2028,26628.14038,22.92457161,40,44,0.5,35,98,0,0,0,0
2029,44459.75121,23.09343124,40,44,0.5,35,98,0,0,0,0
2030,44459.75121,23.24867384,40,44,0.5,35,98,0,0,0,0
2031,12957.18735,23.39240459,40,44,0.5,35,98,0,0,0,0
2032,12957.18735,23.52627057,40,44,0.5,35,98,0,0,0,0
2033,11610.68853,23.6515853,40,44,0.5,35,98,0,0,0,0
2034,11610.68853,23.76941358,40,44,0.5,35,98,0,0,0,0
2035,12365.75409,23.88063087,40,44,0.5,35,98,0,0,0,0
2036,12365.75409,23.98596588,40,44,0.5,35,98,0,0,0,0
2037,21040.88463,24.08603183,40,44,0.5,35,98,0,0,0,0
2038,21040.88463,24.18134974,40,44,0.5,35,98,0,0,0,0
2039,20625.09401,24.27236612,40,44,0.5,35,98,0,0,0,0
2040,20625.09401,24.35946665,40,44,0.5,35,98,0,0,0,0
2041,18778.53432,24.44298673,40,44,0.5,35,98,0,0,0,0
2042,18778.53432,24.52322,40,44,0.5,35,98,0,0,0,0
2043,34424.36131,24.60042496,40,44,0.5,35,98,0,0,0,0
2044,34424.36131,24.67483041,40,44,0.5,35,98,0,0,0,0
2045,26837.67265,24.74663989,40,44,0.5,35,98,0,0,0,0
2046,26837.67265,24.81603524,40,44,0.5,35,98,0,0,0,0
2047,42306.23615,24.88317962,40,44,0.5,35,98,0,0,0,0
2048,42306.23615,24.94822001,40,44,0.5,35,98,0,0,0,0
2049,29545.32688,25.01128927,40,44,0.5,35,98,0,0,0,0
2050,29545.32688,25.07250791,40,44,0.5,35,98,0,0,0,0
